CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,NULL,10100,Italy,011-4988260,011-4988261
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Travessa das Flores, 41,Lisboa,NULL,1675-08,Portugal,(1) 354-2534,(1) 351-4411
GALED,Galería del gastronómo,Eduardo Saavedra,Marketing Manager,Rambla de Cataluña, 23,Barcelona,NULL,08022,Spain,(93) 203 4560,(93) 203 4561
GODOS,Godos Cocina Típica,José Pedro Rodríguez,Sales Manager,C/ Romero, 33,Sevilla,NULL,41101,Spain,(95) 555 82 82,NULL
GOURD,Gourmandise et cie,André Chevance,Sales Representative,32, avenue de l'Armée d'Italie,Paris,NULL,75013,France,01.46.72.20.10,01.46.72.20.11
GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97401,USA,(503) 555-7555,NULL
GROSR,Groselier,Mathilde Bouvier,Marketing Manager,58, rue du Festin,Montréal,QC,H2S 2G6,Canada,(514) 555-6629,(514) 555-7545
HANAR,Hanari Carnes,Mario Pontes,Marketing Representative,Rua do Paço, 67,Rio de Janeiro,RJ,05435-970,Brazil,(21) 555-0091,(21) 555-8765
HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5020,Venezuela,(5) 555-1340,(5) 555-1903
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 - 5th Ave.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,NULL,NULL,Ireland,2967 5102,2967 3333
ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(098) 512-8000,NULL
KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,NULL,14776,Germany,0555-09876,NULL
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Sales Manager,1900 Oak St.,Vancouver,BC,T3Z 1Y9,Canada,(604) 555-3392,(604) 555-7293
LAZYK,Lazy K Kountry Store,John Steel,Sales Representative,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221
LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinplatz 7,Frankfurt a.M.,NULL,60528,Germany,069-0245984,069-0245874
LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St.,San Francisco,CA,94117,USA,(415) 555-5938,NULL
LILAS,LILA-Supermercado,Carlos González,Owner,Carrera 52 con Calle 65,Bogotá,NULL,NULL,Colombia,(1) 987-5992,NULL
LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Yuta 3051,Buenos Aires,NULL,1654,Argentina,(1) 338-1883,NULL
LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9597,NULL
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy,035-640230,035-649586
MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue de l'Abbaye 24,Reims,NULL,51100,France,26.47.15.10,NULL
MEREP,Mère Paillarde,Jean-Paul Monnier,Sales Manager,43 rue St. Laurent,Montréal,QC,H2Y 1V3,Canada,(514) 555-8054,(514) 555-8055
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,NULL,04179,Germany,0342-023176,NULL
NORTH,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,NULL,SW7 1BY,UK,(020) 7555-7733,(020) 7555-2530
NORTS,Northwind Traders,Simon Crowther,Sales Representative,7 City Center Plaza,Elgin,OR,97820,USA,(503) 555-1874,(503) 555-1945
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,NULL,1010,Argentina,(1) 135-5555,(1) 135-4892
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,NULL,50739,Germany,0221-0444098,0221-0444688
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Aguilar Mora 24,México D.F.,NULL,05021,Mexico,(5) 552-3782,(5) 545-3752
PICCO,Piccolo und mehr,Georg Franz,Sales Manager,Geislweg 14,Salzburg,NULL,5020,Austria,6562-9772,6562-9773
PRINI,Princesa Isabel Vda. de Portugal,Isabel de Portugal,Sales Representative,Estrada da saúde n. 58,Lisboa,NULL,1756-90,Portugal,(1) 354-2534,NULL
QUEDE,Que Delícia,Bernardo Batista,Assistant Sales Agent,Rua da Bandeira 35,Rio de Janeiro,RJ,04532-000,Brazil,(21) 555-4252,(21) 555-9129
QUEEN,Queen Cozinha,Lucía Carvalho,Order Administrator,Alameda dos Canàrios, 891,São Paulo,SP,05487-020,Brazil,(11) 555-1189,NULL
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,NULL,01307,Germany,0373-031024,NULL
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,NULL,1010,Argentina,(1) 123-5555,(1) 123-5555
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy,0522-5886,0522-5886
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Av. Copacabana, 267,Rio de Janeiro,RJ,02202-011,Brazil,(21) 555-3412,NULL
RICSU,Richter Supermarkt,Michael Holz,Accounting Manager,Goldschmidstr. 22,Genève,NULL,1205,Switzerland,031-9876543,031-9876543
ROMEY,Romero y tomillo,Andrés Picasso,Sales Representative,Bolivar #969,Trujillo,NULL,21502,Peru,(044) 203236,NULL
